                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.2927,                0.73008,                 1.0184,                 0.8178,                0.59264,                0.65221,                0.36938,                 1.2711,                0.65585,                 1.0086,               0.007954,               0.007954,               0.007954
                     65,                 1.2909,                0.72662,                 1.0175,                0.82324,                  0.591,                0.64509,                0.36727,                  1.272,                0.65505,                 1.0088,               0.007921,               0.007921,               0.007921
                     66,                 1.2911,                0.72641,                 1.0212,                0.81028,                0.59083,                0.64805,                0.36979,                 1.2722,                0.65378,                 1.0098,               0.007888,               0.007888,               0.007888
                     67,                 1.2873,                0.72502,                 1.0187,                0.82291,                0.59195,                0.64702,                 0.3657,                 1.2727,                0.65273,                 1.0099,               0.007855,               0.007855,               0.007855
                     68,                 1.2903,                0.72521,                 1.0172,                0.82136,                0.58872,                0.64647,                0.36545,                 1.2722,                0.65197,                 1.0094,               0.007822,               0.007822,               0.007822
                     69,                 1.2848,                0.72263,                  1.017,                0.80618,                0.59572,                0.64952,                 0.3678,                 1.2703,                0.65062,                 1.0085,               0.007789,               0.007789,               0.007789
                     70,                 1.2855,                0.72512,                 1.0179,                0.81535,                0.59392,                0.65166,                0.36962,                 1.2671,                 0.6496,                 1.0072,               0.007756,               0.007756,               0.007756
                     71,                 1.2806,                0.71979,                 1.0152,                0.81892,                0.58857,                0.65097,                0.37042,                 1.2646,                0.64908,                 1.0061,               0.007723,               0.007723,               0.007723
                     72,                 1.2835,                  0.719,                  1.014,                0.81118,                0.59482,                0.65219,                0.37247,                  1.264,                 0.6483,                  1.006,                0.00769,                0.00769,                0.00769
                     73,                 1.2829,                0.71626,                 1.0138,                0.82124,                0.59481,                0.65125,                0.37257,                 1.2634,                0.64821,                 1.0049,               0.007657,               0.007657,               0.007657
                     74,                 1.2794,                  0.714,                 1.0135,                0.81264,                0.59519,                0.65066,                0.37125,                 1.2634,                0.64685,                  1.005,               0.007624,               0.007624,               0.007624
                     75,                 1.2777,                0.71607,                  1.013,                0.82653,                0.58538,                0.65237,                0.37431,                 1.2614,                0.64655,                 1.0043,               0.007591,               0.007591,               0.007591
                     76,                 1.2789,                0.71598,                 1.0127,                0.82744,                0.58605,                 0.6536,                0.37332,                 1.2608,                0.64561,                 1.0037,               0.007558,               0.007558,               0.007558
                     77,                 1.2739,                0.71205,                  1.014,                0.82068,                0.58546,                0.65335,                0.37504,                 1.2601,                0.64418,                 1.0039,               0.007525,               0.007525,               0.007525
                     78,                 1.2741,                0.71084,                 1.0137,                0.83113,                0.58128,                0.65205,                0.37439,                 1.2602,                 0.6433,                 1.0044,               0.007492,               0.007492,               0.007492
                     79,                 1.2732,                0.71307,                 1.0105,                0.82415,                0.58427,                0.65237,                0.37499,                 1.2596,                0.64308,                 1.0043,               0.007459,               0.007459,               0.007459
                     80,                 1.2712,                0.71145,                 1.0117,                0.81456,                0.58631,                0.65672,                0.37589,                 1.2591,                0.64171,                  1.004,               0.007426,               0.007426,               0.007426
                     81,                  1.271,                0.71015,                  1.011,                0.83642,                0.57667,                0.65916,                 0.3782,                 1.2583,                0.64127,                 1.0036,               0.007393,               0.007393,               0.007393
                     82,                 1.2709,                0.70996,                 1.0106,                0.81572,                0.58867,                0.66008,                0.37968,                 1.2567,                0.64031,                 1.0026,                0.00736,                0.00736,                0.00736
                     83,                 1.2672,                0.70782,                 1.0088,                 0.8031,                0.59488,                0.66178,                0.37945,                  1.257,                0.63911,                 1.0023,               0.007327,               0.007327,               0.007327
                     84,                 1.2675,                0.70585,                 1.0101,                0.81627,                0.58619,                0.66152,                0.38041,                 1.2564,                0.63837,                 1.0019,               0.007294,               0.007294,               0.007294
                     85,                 1.2626,                0.70295,                 1.0057,                0.82701,                0.58414,                0.66523,                0.38012,                 1.2564,                0.63806,                 1.0016,               0.007261,               0.007261,               0.007261
                     86,                 1.2678,                0.70608,                 1.0095,                0.81599,                0.58694,                0.66289,                 0.3806,                 1.2564,                0.63812,                 1.0013,               0.007228,               0.007228,               0.007228
                     87,                 1.2631,                0.70146,                 1.0082,                0.81307,                0.59162,                 0.6646,                0.38092,                 1.2558,                0.63741,                 1.0011,               0.007195,               0.007195,               0.007195
                     88,                  1.261,                0.69832,                 1.0067,                0.81126,                 0.5956,                0.66515,                0.38119,                 1.2556,                0.63662,                 1.0011,               0.007162,               0.007162,               0.007162
                     89,                 1.2591,                0.69993,                 1.0077,                  0.806,                0.59644,                0.66594,                0.38197,                 1.2547,                0.63606,                 1.0007,               0.007129,               0.007129,               0.007129
                     90,                 1.2599,                0.70136,                 1.0084,                0.80378,                0.60078,                0.66433,                0.38172,                 1.2541,                0.63553,                 1.0006,               0.007096,               0.007096,               0.007096
                     91,                 1.2554,                0.69634,                  1.005,                0.80484,                0.60034,                0.66633,                0.38134,                 1.2534,                0.63498,                 1.0004,               0.007063,               0.007063,               0.007063
